name,likes,retweet,reply's,tweeted
ANMOL JAMWAL, 1310, 105,23,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Naresh Ravulapalli, 622, 171,5,What a logic !  #rip    #Bollywood    #MedTwitter
Aravind,3,0,0,Underrated Comedy duo in   #Bollywood   
ANMOL JAMWAL, 1710, 143,46,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
Cinema World SL,0,0,0,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"Actor  #Chiranjeevi  celebrates & honours  #KamalHaasan  for  #Vikram 's success along with   #Bollywood  's bhaijaan,  #SalmanKhan  & filmmaker  #LokeshKanagaraj  at his residence last night."
Jyothi Jha, 1528, 293,7,"A Muslim actress namd Nushrat Bharucha giving gyan to use condoms!

To whom? People of her community seen rioting on streets yesterday? Nah!

It's for Hindus so we facilitate our own future genocide! Isn't Muslims enjoying Indian privileges shd set the record straight?   #Bollywood"
ANMOL JAMWAL, 2059, 336,52,"Happy Birthday cutie 
Happy Birthday hottie 
Happy Birthday sexy #DishaPatani   #HappyBirthdayDishaPatani    #Bollywood    #bollywoodactress  "
Aravind,3,0,0,My Favourite Actor is  #Thala   #Ajithkumar  says.   #Bollywood   Actor  #RanbirKapoor   #AK61
Cinema World SL,0,0,0,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
IndiaToday, 714, 177,26,The supporting cast of this 
Gulf News,5,0,0,
ETC Bollywood,0,0,0,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1486, 817,60,The state of   #bollywood   no wonder it’s dying - Another  #Bindrakhia  hook ruined
